name,pa,single,double,triple,home_run,strikeout,walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,r_total_stolen_base,b_hit_ground,b_hit_fly,b_hit_line_drive,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,exit_velocity_avg,launch_angle_avg,barrel,barrel_batted_rate,hard_hit_percent,straightaway_percent,linedrives_percent,hp_to_1b,sprint_speed,Dir,ER,ZR,infield,outfield,Both
Patrick Bailey,353,50,18,1,7,100,21,0.233,0.359,0.285,0.644,0,1,21,14,41,45,79,18,10,88.7,10.2,23,10,38.4,33.6,26.2,4.65,26.2,S,0.0175675675675676,0.984,TRUE,FALSE,FALSE
Carter Kieboom,94,12,2,0,4,27,6,0.207,0.368,0.266,0.634,0,0,6,4,8,8,22,5,7,86.1,15.2,3,5,23.3,40,21.7,4.62,26.4,R,0.117647058823529,0.957,TRUE,FALSE,FALSE
Justin Turner,626,100,31,0,23,110,51,0.276,0.455,0.345,0.800,1,4,33,43,76,107,129,38,26,89.5,16.5,26,5.7,39,34.8,25.1,4.83,25.2,R,0.0241935483870968,0.980,TRUE,FALSE,FALSE
Alika Williams,112,15,5,0,0,35,9,0.198,0.248,0.270,0.518,0,0,7,2,11,13,26,7,1,83.4,10.1,2,3,25.4,41.8,26.9,4.41,28.2,R,0.129032258064516,0.963,TRUE,FALSE,FALSE
Chas McCormick,457,69,17,2,22,117,40,0.273,0.489,0.353,0.842,6,19,33,31,46,59,89,18,12,88,14.6,32,11.1,38.8,33.2,22.5,4.31,28.2,R,0.0040650406504065,0.996,FALSE,TRUE,FALSE
Shea Langeliers,490,47,19,4,22,143,34,0.205,0.413,0.268,0.681,2,3,26,31,35,65,87,19,45,90.6,19.6,41,13.3,44.5,30.5,17.5,4.51,28.4,R,0.0105820105820106,0.990,TRUE,FALSE,FALSE
Kody Clemens,148,21,7,0,4,40,8,0.230,0.367,0.277,0.644,0,0,10,6,16,24,30,8,5,90.4,15.2,6,6.1,40.4,38.4,24.2,4.46,27.5,L,0.00383141762452107,0.997,FALSE,FALSE,TRUE
Ketel Marte,650,97,26,9,25,109,71,0.276,0.485,0.358,0.843,2,8,58,25,74,92,155,28,28,91.1,10.7,37,8,42.8,37.6,23,4.37,27.7,S,0.0353982300884956,0.986,FALSE,FALSE,TRUE
Jacob Young,121,19,7,1,0,22,10,0.252,0.336,0.322,0.658,0,13,15,1,11,11,36,8,6,86.4,1.8,0,0,30.7,36.4,21.6,4.15,30.0,R,0.0123456790123457,0.988,FALSE,TRUE,FALSE
Luken Baker,99,13,3,0,2,31,13,0.209,0.314,0.313,0.627,0,0,5,3,10,14,15,4,4,93.1,16.9,4,7.3,52.7,43.6,25.5,0,24.7,R,0,1.000,TRUE,FALSE,FALSE
Michael Stefanic,71,15,2,1,0,8,8,0.290,0.355,0.380,0.735,1,0,7,0,11,10,16,6,4,87.9,7.3,0,0,22.2,48.1,31.5,4.62,26.0,R,0.08,0.959,TRUE,FALSE,FALSE
Nick Allen,329,57,4,2,4,52,17,0.221,0.287,0.263,0.550,1,5,37,8,22,40,105,27,19,84.8,6.8,3,1.2,26.6,42.1,19.3,4.38,27.9,R,0.0743801652892562,0.976,TRUE,FALSE,FALSE
Gabriel Moreno,380,70,19,1,7,75,29,0.284,0.408,0.339,0.747,2,6,41,9,47,36,110,23,6,89.8,4.2,13,4.8,41.8,44.3,26,4.4,27.2,R,0.00365408038976857,0.997,TRUE,FALSE,FALSE
Rodolfo Castro,256,35,7,0,6,74,23,0.211,0.322,0.297,0.619,4,1,23,11,14,23,63,7,13,87.2,7.6,12,7.8,35.1,29.2,13.6,4.48,27.3,S,0.152941176470588,0.946,TRUE,FALSE,FALSE
Brandon Drury,523,68,30,3,26,136,25,0.262,0.497,0.306,0.803,2,0,41,31,54,62,110,31,22,89.9,11.8,39,11,46.3,35.6,24.6,4.56,26.9,R,0.00597014925373134,0.996,TRUE,FALSE,FALSE
Julio Rodriguez,714,109,37,2,32,175,47,0.275,0.485,0.333,0.818,10,37,69,36,75,82,160,36,22,92.7,8.5,57,11.9,52,36.6,23.3,4.28,29.6,R,0,1.000,TRUE,FALSE,FALSE
