Name,PA,1B,2B,3B,HR,BB,SO,SB,CS,Dir
Charlie Blackmon,10,1,2,0,0,0,1,0,0,
Alberto Rodriguez,524,79,38,7,14,51,120,8,3,
Esteban Gonzalez,156,20,9,4,6,17,38,21,0,
Starlin Aguilar,70,11,5,1,1,7,17,0,0,
Nathanael Rodriguez,21,5,1,0,0,1,8,0,0,
Anthony Scull,192,36,7,5,3,12,41,10,1,
Eduar Bolivar,123,25,7,0,1,6,24,5,4,
Sabin Ceballos,50,11,0,0,1,9,14,2,0,R
Ryan Ignoffo,104,21,5,0,1,12,7,4,1,
Tristin English,449,66,27,0,23,52,103,2,3,
Jesus Fernandez,229,52,9,1,0,15,14,9,6,
Abraham Nunez,185,31,8,2,3,33,22,12,7,
Juan Murillo,155,26,9,3,3,14,38,6,2,
Gabriel Terrero,162,24,9,1,7,22,35,14,6,
Eduardo Oviedo,149,25,7,1,5,19,37,15,6,
David Isea,122,26,4,0,2,12,22,5,2,
Óscar Mercado,347,54,21,3,14,29,73,28,5,
Andry Javier,101,16,5,1,1,23,11,10,2,
Jace Bohrofen,97,11,5,0,7,19,24,1,0,
Onil Perez,331,70,12,5,2,26,38,23,4,R
Jared Triolo,244,36,19,3,2,41,63,10,3,
Shane Sasaki,309,54,15,4,7,34,69,16,4,
Esneider Gomez,156,31,9,0,0,7,19,7,2,
Ezequiel Pagan,437,87,20,2,5,39,66,12,10,L
Adrian Sugastey,264,53,15,2,4,13,37,1,0,R
Jeffrey Mercedes,136,26,7,1,3,8,31,1,0,
Sandro Pereira,166,27,5,4,1,17,30,8,3,
Brice Turang,63,8,6,0,3,6,10,2,0,
Emilio Taveras,74,6,8,0,3,15,22,2,0,
Luke Shliger,67,14,3,0,0,8,10,1,1,
Samuel Gil,192,37,7,2,2,29,32,7,4,
Diego Velasquez,517,86,32,1,8,56,82,23,6,S
Jake Mangum,515,99,29,8,5,28,91,16,6,
Brett Baty,121,17,4,0,10,16,29,2,2,
Michael Brantley,64,9,4,0,1,15,1,0,0,
Elier Hernandez,612,106,36,5,18,50,126,9,6,
Sam Huff,321,47,17,0,17,44,78,0,0,
Gabriel Gonzalez,535,97,23,4,18,36,89,10,0,R
Javier Sanoja,576,126,20,8,4,41,42,37,22,R
Elly De La Cruz,186,21,11,3,12,26,50,11,6,
Kole Calhoun,266,38,17,5,9,27,48,0,0,
Kyler Castillo,85,16,5,1,0,9,16,1,0,
Nolan Beltran,128,25,5,2,1,15,22,3,4,
J.P. Martinez,375,49,23,4,14,63,85,41,4,
Brian Sanchez,128,19,7,4,0,20,23,8,4,
Andy Ibanez,79,9,5,0,5,13,14,2,1,
Mitch Jebb,153,29,6,2,1,17,11,11,1,L
Diego Villegas,112,19,7,1,0,18,21,1,3,
Justin Wishkoski,112,18,7,0,2,16,6,1,0,
Jadiel Sanchez,443,77,15,10,11,47,64,7,4,S
Ivan Herrera,375,48,27,1,10,75,77,11,2,R
Brainer Bonaci,350,64,18,1,11,30,80,7,4,S
Brandon Lockridge,325,60,16,4,3,36,74,40,5,
Carter Trice,32,3,4,0,1,5,11,0,0,
Blaze Jordan,525,90,32,1,18,40,75,2,0,R
Osleivis Basabe,426,79,24,7,4,31,66,16,6,
Jimmy Herron,539,85,27,4,19,69,103,33,5,
Simon Muzziotti,524,107,22,4,7,45,81,26,12,L
Kevin Watson,351,71,13,3,0,50,62,9,4,
Jorgelys Mota,113,20,5,3,1,10,38,2,2,
Jorge Lara,161,27,9,0,3,21,17,18,3,
Angel Perez,117,13,7,1,5,24,25,1,0,
Drew Bowser,49,9,4,0,0,5,21,4,1,
